simplified	traditional	pinyin	eng	level
唉	唉	ai1	interjection or grunt of agreement or recognition (e.g. yes, it's me!), to sigh,	5
唉	唉	ai4	interjection or grunt of agreement or recognition (e.g. yes, it's me!), to sigh,	5
爱护	愛護	ai4 hu4	to cherish, to treasure, to take care of, to love and protect,	5
爱惜	愛惜	ai4 xi1	to cherish, to treasure, to use sparingly,	5
爱心	愛心	ai4 xin1	compassion, CL:片[piàn],	5
安慰	安慰	an1 wei4	to comfort, to console, CL:個|个[gè],	5
安装	安裝	an1 zhuang1	to install, to erect, to fix, to mount, installation,	5
岸	岸	an4	bank, shore, beach, coast, CL:個|个[gè],	5
岸	岸	an4	bank, shore, beach, coast, CL:個|个[gè],	5
把握	把握	ba3 wo4	to grasp (also fig.), to seize, to hold, assurance, certainty, sure (of the outcome),	5
摆	擺	bai3	to arrange, to exhibit, to move to and fro, a pendulum,	5
摆	擺	bai3	to arrange, to exhibit, to move to and fro, a pendulum,	5
班主任	班主任	ban1 zhu3 ren4	teacher in charge of a class,	5
办理	辦理	ban4 li3	to handle, to transact, to conduct,	5
棒	棒	bang4	a stick, club or cudgel, smart, capable, strong, wonderful, classifier for legs of a relay race,	5
傍晚	傍晚	bang4 wan3	in the evening, when night falls, towards evening, at night fall, at dusk,	5
包裹	包裹	bao1 guo3	wrap up, bind up, bundle, parcel, package, CL:個|个[gè],	5
包含	包含	bao1 han2	to contain, to embody, to include,	5
包子	包子	bao1 zi5	steamed stuffed bun, CL:個|个[gè],	5
薄	薄	Bo2	thin, cold in manner, indifferent, weak, light, infertile,	5
薄	薄	bao2	thin, cold in manner, indifferent, weak, light, infertile,	5
薄	薄	bo2	thin, cold in manner, indifferent, weak, light, infertile,	5
薄	薄	bo4	thin, cold in manner, indifferent, weak, light, infertile,	5
宝贝	寶貝	bao3 bei4	treasured object, treasure, darling, baby, cowry, good-for-nothing or queer character,	5
宝贵	寶貴	bao3 gui4	valuable, precious, to value, to treasure, to set store by,	5
保持	保持	bao3 chi2	to keep, to maintain, to hold, to preserve,	5
保存	保存	bao3 cun2	to conserve, to preserve, to keep, to save (a file etc) (computing),	5
保留	保留	bao3 liu2	to retain, to continue to have, to preserve, to maintain, to reserve, reservations, to hold back (approval or acceptance),	5
保险	保險	bao3 xian3	insurance, to insure, safe, secure, be sure, be bound to, CL:份[fèn],	5
报告	報告	bao4 gao4	to inform, to report, to make known, speech, talk, lecture, CL:篇,份,個|个,通[tòng],	5
悲观	悲觀	bei1 guan1	pessimistic,	5
被子	被子	bei4 zi5	quilt, CL:床[chuáng],	5
背	背	bei1	the back of a body or object, to turn one's back, to hide something from, to learn by heart, to recite from memory, unlucky (slang), hard of hearing,	5
背	背	bei1	the back of a body or object, to turn one's back, to hide something from, to learn by heart, to recite from memory, unlucky (slang), hard of hearing,	5
背	背	bei4	the back of a body or object, to turn one's back, to hide something from, to learn by heart, to recite from memory, unlucky (slang), hard of hearing,	5
背景	背景	bei4 jing3	background, backdrop, context, CL:種|种[zhǒng],	5
本科	本科	ben3 ke1	undergraduate course, undergraduate (adjective),	5
本领	本領	ben3 ling3	skill, ability, capability, CL:項|项,個|个[gè],	5
本质	本質	ben3 zhi4	essence, nature, innate character, intrinsic quality,	5
比例	比例	bi3 li4	proportion, scale,	5
比如	比如	bi3 ru2	for example, for instance, such as,	5
彼此	彼此	bi3 ci3	each other, one another,	5
必然	必然	bi4 ran2	inevitable, certain, necessity,	5
必需	必需	bi4 xu1	to need, to require, essential, indispensable,	5
必要	必要	bi4 yao4	necessary, essential, indispensable, required,	5
毕竟	畢竟	bi4 jing4	after all, all in all, when all is said and done, in the final analysis,	5
避免	避免	bi4 mian3	to avert, to prevent, to avoid, to refrain from,	5
鞭炮	鞭炮	bian1 pao4	firecrackers, a string of small firecrackers, CL:枚[méi],	5
编辑	編輯	bian1 ji2	to edit, to compile, editor, compiler,	5
便	便	bian4	ordinary, plain, convenient, as convenient, when the chance arises, handy, easy, informal, simple, so, thus, to relieve oneself, to urinate, to defecate, equivalent to 就: then, in that case, even if, soon afterwards,	5
便	便	pian2	ordinary, plain, convenient, as convenient, when the chance arises, handy, easy, informal, simple, so, thus, to relieve oneself, to urinate, to defecate, equivalent to 就: then, in that case, even if, soon afterwards,	5
辩论	辯論	bian4 lun4	debate, argument, to argue over, CL:場|场,次[cì],	5
标点	標點	biao1 dian3	punctuation, a punctuation mark, to punctuate, CL:個|个[gè],	5
标志	標志	biao1 zhi4	sign, mark, symbol, to symbolize, to indicate, to mark,	5
表面	表面	biao3 mian4	surface, face, outside, appearance,	5
表明	表明	biao3 ming2	to make clear, to make known, to state clearly, to indicate, known,	5
表情	表情	biao3 qing2	(facial) expression, to express one's feelings, expression,	5
表现	表現	biao3 xian4	to show, to show off, to display, to manifest, expression, manifestation, show, display, performance (at work etc), behavior,	5
丙	丙	bing3	"third of 10 heavenly stems 十天干, third in order, letter ""C"" or roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc, propyl,"	5
病毒	病毒	bing4 du2	virus,	5
玻璃	玻璃	bo1 li5	glass, nylon, plastic, CL:張|张,塊|块[kuài],	5
博物馆	博物館	bo2 wu4 guan3	museum,	5
脖子	脖子	bo2 zi5	neck, CL:個|个[gè],	5
不必	不必	bu4 bi4	need not, does not have to, not necessarily,	5
不断	不斷	bu4 duan4	unceasing, uninterrupted, continuous, constant,	5
不见得	不見得	bu4 jian4 de5	not necessarily, not likely,	5
不耐烦	不耐煩	bu4 nai4 fan2	impatience, impatient,	5
不要紧	不要緊	bu4 yao4 jin3	unimportant, not serious, it doesn't matter, never mind, it looks all right, but,	5
补充	補充	bu3 chong1	to replenish, to supplement, to complement, additional, supplementary, CL:個|个[gè],	5
不安	不安	bu4 an1	unpeaceful, unstable, uneasy, disturbed, restless, worried,	5
不得了	不得了	bu4 de2 liao3	desperately serious, disastrous, extremely, exceedingly,	5
不好意思	不好意思	bu4 hao3 yi4 si5	to feel embarrassed, to find it embarrassing, to be sorry (for inconveniencing sb),	5
不免	不免	bu4 mian3	inevitably,	5
不然	不然	bu4 ran2	not so, no, or else, otherwise, if not,	5
不如	不如	bu4 ru2	not equal to, not as good as, inferior to, it would be better to,	5
不足	不足	bu4 zu2	insufficient, lacking, deficiency, not enough, inadequate, not worth, cannot, should not,	5
布	布	bu4	cloth, to declare, to announce, to spread, to make known,	5
布	布	bu4	cloth, to declare, to announce, to spread, to make known,	5
步骤	步驟	bu4 zhou4	procedure, step,	5
部门	部門	bu4 men2	department, branch, section, division, CL:個|个[gè],	5
财产	財產	cai2 chan3	property, CL:筆|笔[bǐ],	5
踩	踩	cai3	to step on, to tread, to stamp, to press a pedal, to pedal (a bike),	5
踩	踩	cai3	to step on, to tread, to stamp, to press a pedal, to pedal (a bike),	5
采访	採訪	cai3 fang3	to interview, to gather news, to hunt for and collect, to cover,	5
采取	採取	cai3 qu3	to adopt or carry out (measures, policies, course of action), to take,	5
彩虹	彩虹	cai3 hong2	rainbow,	5
参考	參考	can1 kao3	consultation, reference, to consult, to refer,	5
参与	參與	can1 yu4	to participate (in sth),	5
餐厅	餐廳	can1 ting1	dining hall, dining room, restaurant, CL:間|间,家[jiā],	5
残疾	殘疾	can2 ji2	disabled, handicapped, deformity on a person or animal,	5
惭愧	慚愧	can2 kui4	ashamed,	5
操场	操場	cao1 chang3	playground, sports field, drill ground, CL:個|个[gè],	5
操心	操心	cao1 xin1	to worry about,	5
册	冊	ce4	book, booklet, classifier for books,	5
测验	測驗	ce4 yan4	test, to test, CL:次,個|个[gè],	5
厕所	廁所	ce4 suo3	toilet, lavatory, CL:間|间,處|处[chù],	5
曾经	曾經	ceng2 jing1	once, already, former, previously, ever, (past tense marker used before verb or clause),	5
插	插	cha1	to insert, stick in, pierce, to take part in, to interfere, to interpose,	5
插	插	cha1	to insert, stick in, pierce, to take part in, to interfere, to interpose,	5
差别	差別	cha1 bie2	difference, distinction, diversity, disparity,	5
叉子	叉子	cha1 zi5	fork, CL:把[bǎ],	5
拆	拆	chai1	to tear open, to tear down, to tear apart, to open,	5
产品	產品	chan3 pin3	goods, merchandise, product, CL:個|个[gè],	5
产生	產生	chan3 sheng1	to arise, to come into being, to come about, to give rise to, to bring into being, to bring about, to produce, to engender, to generate, to appear, appearance, emergence, generation, production, yield,	5
长途	長途	chang2 tu2	long distance,	5
常识	常識	chang2 shi2	common sense, general knowledge, CL:門|门[mén],	5
抄	抄	chao1	to make a copy, to plagiarize, to search and seize, to raid, to grab, to go off with, to take a shortcut, to make a turning move, to fold one's arms,	5
朝	朝	Chao2	imperial or royal court, government, dynasty, reign of a sovereign or emperor, court or assembly held by a sovereign or emperor, to make a pilgrimage to, facing, towards,	5
朝	朝	chao2	imperial or royal court, government, dynasty, reign of a sovereign or emperor, court or assembly held by a sovereign or emperor, to make a pilgrimage to, facing, towards,	5
朝	朝	zhao1	imperial or royal court, government, dynasty, reign of a sovereign or emperor, court or assembly held by a sovereign or emperor, to make a pilgrimage to, facing, towards,	5
朝代	朝代	chao2 dai4	dynasty, reign (of a king),	5
炒	炒	chao3	to sauté, to stir-fry, to speculate, to hype, to fire (sb),	5
吵架	吵架	chao3 jia4	to quarrel, to have a row, quarrel, CL:頓|顿[dùn],	5
车库	車庫	che1 ku4	garage,	5
车厢	車廂	che1 xiang1	carriage, CL:節|节[jié],	5
彻底	徹底	che4 di3	thorough, thoroughly, complete,	5
沉默	沉默	chen2 mo4	taciturn, uncommunicative, silent,	5
趁	趁	chen4	to avail oneself of, to take advantage of,	5
趁	趁	chen4	to avail oneself of, to take advantage of,	5
称	稱	chen4	to weigh, to state, to name, name, appellation, to praise,	5
称	稱	cheng1	to weigh, to state, to name, name, appellation, to praise,	5
称	稱	cheng4	to weigh, to state, to name, name, appellation, to praise,	5
称呼	稱呼	cheng1 hu5	to call, to address as, appellation,	5
称赞	稱贊	cheng1 zan4	to praise, to acclaim, to commend, to compliment,	5
乘	乘	Cheng2	to ride, to mount, to make use of, to avail oneself of, to take advantage of, to multiply (mathematics), Buddhist sect or creed,	5
乘	乘	cheng2	to ride, to mount, to make use of, to avail oneself of, to take advantage of, to multiply (mathematics), Buddhist sect or creed,	5
乘	乘	sheng4	to ride, to mount, to make use of, to avail oneself of, to take advantage of, to multiply (mathematics), Buddhist sect or creed,	5
乘	乘	cheng2	to ride, to mount, to make use of, to avail oneself of, to take advantage of, to multiply (mathematics), Buddhist sect or creed,	5
承担	承擔	cheng2 dan1	to undertake, to assume (responsibility etc),	5
承认	承認	cheng2 ren4	to admit, to concede, to recognize, recognition (diplomatic, artistic etc), to acknowledge,	5
承受	承受	cheng2 shou4	to bear, to support, to inherit,	5
成分	成分	cheng2 fen4	composition, make-up, ingredient, element, component, one's social status, CL:個|个[gè],	5
成果	成果	cheng2 guo3	result, achievement, gain, profit, CL:個|个[gè],	5
成就	成就	cheng2 jiu4	accomplishment, success, attain a result, achievement, CL:個|个[gè],	5
成立	成立	cheng2 li4	to establish, to set up, to be tenable, to hold water,	5
成语	成語	cheng2 yu3	Chinese set expression, often made up of 4 characters or two couplets of 4 characters each, often alluding to a story or historical quotation, idiom; proverb; saying; adage; set expression, CL:條|条,本,句[jù],	5
成长	成長	cheng2 zhang3	to mature, to grow, growth,	5
程度	程度	cheng2 du4	degree (level or extent), level, CL:個|个[gè],	5
程序	程序	cheng2 xu4	procedures, sequence, order, computer program,	5
诚恳	誠懇	cheng2 ken3	sincere, honest, cordial,	5
吃亏	喫虧	chi1 kui1	to suffer losses, to come to grief, to lose out, to get the worst of it, to be at a disadvantage, unfortunately,	5
持续	持續	chi2 xu4	to continue, to persist, sustainable, preservation,	5
池子	池子	chi2 zi5	pond, CL:個|个[gè],	5
尺子	尺子	chi3 zi5	rule, ruler (measuring instrument), CL:把[bǎ],	5
翅膀	翅膀	chi4 bang3	wing, CL:個|个,對|对[duì],	5
冲	衝	chong1	thoroughfare, to go straight ahead, to rush, to clash,	5
冲	衝	chong1	thoroughfare, to go straight ahead, to rush, to clash,	5
冲	衝	chong4	thoroughfare, to go straight ahead, to rush, to clash,	5
充电器	充電器	chong1 dian4 qi4	battery charger,	5
充分	充分	chong1 fen4	ample, sufficient, adequate, full, fully, to the full,	5
充满	充滿	chong1 man3	full of, brimming with, very full, permeated,	5
重复	重復	chong2 fu4	to repeat, to duplicate, CL:個|个[gè],	5
重复	重復	chong2 fu4	to repeat, to duplicate, CL:個|个[gè],	5
宠物	寵物	chong3 wu4	house pet,	5
抽屉	抽屜	chou1 ti5	drawer,	5
抽象	抽象	chou1 xiang4	abstract, abstraction, CL:種|种[zhǒng],	5
丑	醜	Chou3	shameful, ugly, disgraceful,	5
丑	醜	chou3	shameful, ugly, disgraceful,	5
丑	醜	chou3	shameful, ugly, disgraceful,	5
臭	臭	chou4	stench, stink, smelly, to smell (bad),	5
臭	臭	xiu4	stench, stink, smelly, to smell (bad),	5
出版	出版	chu1 ban3	to publish, to come off the press, to put out,	5
出口	出口	chu1 kou3	an exit, CL:個|个[gè], to speak, to export, (of a ship) to leave port,	5
出色	出色	chu1 se4	remarkable, outstanding,	5
出席	出席	chu1 xi2	to attend, to participate, present,	5
初级	初級	chu1 ji2	junior, primary,	5
除	除	chu2	to get rid of, to remove, to exclude, to eliminate, to wipe out, to divide, except, not including,	5
除非	除非	chu2 fei1	only if (..., or otherwise, ...), only when, only in the case that, unless,	5
除夕	除夕	Chu2 xi1	(New Year's) Eve,	5
处理	處理	chu3 li3	to handle, to treat, to deal with, to process, CL:個|个[gè],	5
传播	傳播	chuan2 bo1	to disseminate, to propagate, to spread,	5
传递	傳遞	chuan2 di4	to transmit, to pass on to sb else,	5
传染	傳染	chuan2 ran3	to infect, contagious,	5
传说	傳說	chuan2 shuo1	legend, folklore, tradition, it is said, they say that...,	5
传统	傳統	chuan2 tong3	tradition, traditional, convention, conventional, CL:個|个[gè],	5
窗帘	窗簾	chuang1 lian2	window curtains,	5
闯	闖	chuang3	to rush, to charge, to dash, to break through, to temper oneself (through battling hardships),	5
创造	創造	chuang4 zao4	to create, to bring about, to produce, to set (a record),	5
吹	吹	chui1	to blow, to play a wind instrument, to blast, to puff, to boast, to brag, to end in failure, to fall through,	5
磁带	磁帶	ci2 dai4	magnetic tape, CL:盤|盘,盒[hé],	5
辞职	辭職	ci2 zhi2	to resign,	5
此外	此外	ci3 wai4	besides, in addition, moreover, furthermore,	5
刺激	刺激	ci4 ji1	to provoke, to irritate, to upset, to stimulate, to excite, irritant,	5
次要	次要	ci4 yao4	secondary,	5
匆忙	匆忙	cong1 mang2	hasty, hurried,	5
从此	從此	cong2 ci3	from now on, since then, henceforth,	5
从而	從而	cong2 er2	thus, thereby,	5
从前	從前	cong2 qian2	previously, formerly, once upon a time,	5
从事	從事	cong2 shi4	to go for, to engage in, to undertake, to deal with, to handle, to do,	5
醋	醋	cu4	vinegar,	5
促进	促進	cu4 jin4	to promote (an idea or cause), to advance, boost,	5
促使	促使	cu4 shi3	to induce, to promote, to urge, to impel, to bring about, to provoke, to drive (sb to do sth), to catalyze, to actuate, to contribute to (some development),	5
催	催	cui1	to urge, to press, to prompt, to rush sb, to hasten sth, to expedite,	5
存	存	cun2	to exist, to deposit, to store, to keep, to survive,	5
存在	存在	cun2 zai4	to exist, to be, existence,	5
错误	錯誤	cuo4 wu4	error, mistake, CL:個|个[gè], mistaken, false, wrong,	5
措施	措施	cuo4 shi1	measure, step, CL:個|个[gè],	5
答应	答應	da1 ying5	to promise, to agree, to reply, to respond,	5
达到	達到	da2 dao4	to reach, to achieve, to attain,	5
打工	打工	da3 gong1	to work a temporary or casual job, (of students) to have a job outside of class time, or during vacation,	5
打交道	打交道	da3 jiao1 dao4	to come into contact with, to have dealings,	5
打喷嚏	打噴嚏	da3 pen1 ti4	to sneeze,	5
打听	打聽	da3 ting5	to ask about, to inquire about,	5
打招呼	打招呼	da3 zhao1 hu5	to greet sb by word or action, to give prior notice,	5
大方	大方	da4 fang1	generous, magnanimous, stylish, in good taste, easy-mannered, natural and relaxed,	5
大方	大方	da4 fang5	generous, magnanimous, stylish, in good taste, easy-mannered, natural and relaxed,	5
大象	大象	da4 xiang4	elephant, CL:隻|只[zhī],	5
大型	大型	da4 xing2	large, large-scale,	5
呆	呆	dai1	foolish, stupid, expressionless, blank, to stay,	5
呆	呆	dai1	foolish, stupid, expressionless, blank, to stay,	5
贷款	貸款	dai4 kuan3	a loan, to provide a loan (e.g. bank), CL:筆|笔[bǐ],	5
待遇	待遇	dai4 yu4	treatment, pay, wages, status, salary,	5
担任	擔任	dan1 ren4	to hold a governmental office or post, to assume office of, to take charge of, to serve as,	5
单纯	單純	dan1 chun2	simple, pure, alone, merely,	5
单调	單調	dan1 diao4	monotonous,	5
单独	單獨	dan1 du2	alone, by oneself, on one's own,	5
单位	單位	dan1 wei4	a unit, unit (of measure), work unit (one's workplace), CL:個|个[gè],	5
单元	單元	dan1 yuan2	unit, entrance number, staircase (for residential buildings),	5
耽误	耽誤	dan1 wu5	to delay, to hold up, to waste time, to interfere with,	5
胆小鬼	膽小鬼	dan3 xiao3 gui3	coward,	5
淡	淡	dan4	insipid, diluted, weak, mild, light in color, tasteless, fresh, indifferent, nitrogen,	5
当代	當代	dang1 dai4	the present age, the contemporary era,	5
挡	擋	dang3	to resist, to obstruct, to hinder, to keep off, to block (a blow), to get in the way of, cover, gear,	5
挡	擋	dang4	to resist, to obstruct, to hinder, to keep off, to block (a blow), to get in the way of, cover, gear,	5
挡	擋	dang3	to resist, to obstruct, to hinder, to keep off, to block (a blow), to get in the way of, cover, gear,	5
岛	島	dao3	island, CL:個|个,座[zuò],	5
岛	島	dao3	island, CL:個|个,座[zuò],	5
倒霉	倒黴	dao3 mei2	to have bad luck, to be out of luck,	5
导演	導演	dao3 yan3	to direct, director (film etc),	5
导致	導致	dao3 zhi4	to lead to, to create, to cause, to bring about,	5
倒	倒	dao3	to place upside down, to invert, to pour, to throw out, to move backwards, however, actually, as a matter of fact, contrary to expectation,	5
倒	倒	dao4	to place upside down, to invert, to pour, to throw out, to move backwards, however, actually, as a matter of fact, contrary to expectation,	5
到达	到達	dao4 da2	to reach, to arrive,	5
道德	道德	dao4 de2	virtue, morality, ethics, CL:種|种[zhǒng],	5
道理	道理	dao4 li5	reason, argument, sense, principle, basis, justification, CL:個|个[gè],	5
登机牌	登機牌	deng1 ji1 pai2	boarding pass,	5
登记	登記	deng1 ji4	to register (one's name),	5
等待	等待	deng3 dai4	to wait, to wait for,	5
等候	等候	deng3 hou4	to wait, to wait for,	5
等于	等於	deng3 yu2	to equal, to be tantamount to,	5
滴	滴	di1	a drop, to drip,	5
的确	的確	di2 que4	really, indeed,	5
敌人	敵人	di2 ren2	enemy, CL:個|个[gè],	5
递	遞	di4	to hand over, to pass on sth, to gradually increase or decrease, progressively,	5
地道	地道	di4 dao4	authentic, genuine, typical, from a place known for the product, thorough, conscientious,	5
地道	地道	di4 dao5	authentic, genuine, typical, from a place known for the product, thorough, conscientious,	5
地理	地理	di4 li3	geography,	5
地区	地區	di4 qu1	local, regional, district (not necessarily formal administrative unit), region, area, as suffix to city name, means prefecture or county (area administered by a prefecture level city or county level city), CL:個|个[gè],	5
地毯	地毯	di4 tan3	carpet, rug,	5
地位	地位	di4 wei4	position, status, place, CL:個|个[gè],	5
地震	地震	di4 zhen4	earthquake,	5
点头	點頭	dian3 tou2	to nod,	5
点心	點心	dian3 xin5	light refreshments, pastry, dimsum (in Cantonese cooking), dessert,	5
电池	電池	dian4 chi2	battery, CL:節|节,組|组[zǔ],	5
电台	電臺	dian4 tai2	transmitter-receiver, broadcasting station, radio station, CL:個|个,家[jiā],	5
钓	釣	diao4	to fish with a hook and bait,	5
丁	丁	Ding1	"fourth of 10 heavenly stems 十天干, fourth in order, letter ""D"" or roman ""IV"" in list ""A, B, C"", or ""I, II, III"" etc, butyl, cubes (of food),"	5
丁	丁	ding1	"fourth of 10 heavenly stems 十天干, fourth in order, letter ""D"" or roman ""IV"" in list ""A, B, C"", or ""I, II, III"" etc, butyl, cubes (of food),"	5
丁	丁	zheng1	"fourth of 10 heavenly stems 十天干, fourth in order, letter ""D"" or roman ""IV"" in list ""A, B, C"", or ""I, II, III"" etc, butyl, cubes (of food),"	5
顶	頂	ding3	"apex, crown of the head, top, roof, to carry on the head, to push to the top, to go against, most, to replace, to substitute, classifier for headwear, hats, veils etc, to ""bump"" a forum thread to raise its profile (internet slang),"	5
冻	凍	dong4	to freeze, to feel very cold, aspic or jelly,	5
洞	洞	dong4	cave, hole, zero (unambiguous spoken form when spelling out numbers), CL:個|个[gè],	5
洞	洞	tong2	cave, hole, zero (unambiguous spoken form when spelling out numbers), CL:個|个[gè],	5
动画片	動畫片	dong4 hua4 pian4	animated film,	5
逗	逗	dou4	to stay, to stop, to pause (while reading), to tease (play with),	5
豆腐	豆腐	dou4 fu5	tofu, bean curd,	5
独立	獨立	du2 li4	independent, independence, to stand alone,	5
独特	獨特	du2 te4	unique, distinct, having special characteristics,	5
度过	度過	du4 guo4	to pass, to spend (time), to survive, to get through,	5
短信	短信	duan3 xin4	text message, SMS,	5
堆	堆	dui1	to pile up, to heap up, a mass, pile, heap, stack, large amount,	5
对比	對比	dui4 bi3	to contrast, contrast, ratio, CL:個|个[gè],	5
对待	對待	dui4 dai4	to treat, treatment,	5
对方	對方	dui4 fang1	counterpart, other person involved, opposite side, other side, receiving party,	5
对手	對手	dui4 shou3	opponent, adversary, match,	5
对象	對象	dui4 xiang4	target, object, partner, boyfriend, girlfriend, CL:個|个[gè],	5
对于	對於	dui4 yu2	regarding, as far as sth is concerned, with regards to,	5
吨	噸	dun1	ton, Taiwan pr. [dùn],	5
蹲	蹲	cun2	to crouch, to squat,	5
蹲	蹲	dun1	to crouch, to squat,	5
多亏	多虧	duo1 kui1	thanks to, luckily,	5
多余	多餘	duo1 yu2	superfluous, unnecessary, surplus,	5
躲藏	躲藏	duo3 cang2	to hide oneself,	5
恶劣	惡劣	e4 lie4	vile, nasty, of very poor quality,	5
发表	發表	fa1 biao3	to issue, to publish,	5
发愁	發愁	fa1 chou2	to worry, to fret, to be anxious, to become sad,	5
发达	發達	fa1 da2	developed (country etc), flourishing, to develop,	5
发抖	發抖	fa1 dou3	to tremble, to shake, to shiver,	5
发挥	發揮	fa1 hui1	to display, to exhibit, to bring out implicit or innate qualities, to express (a thought or moral), to develop (an idea), to elaborate (on a theme),	5
发明	發明	fa1 ming2	to invent, invention, CL:個|个[gè],	5
发票	發票	fa1 piao4	invoice, receipt or bill for purchase,	5
发言	發言	fa1 yan2	to make a speech, statement, utterance, CL:個|个[gè],	5
罚款	罰款	fa2 kuan3	(impose a) fine, penalty, fine (monetary),	5
法院	法院	fa3 yuan4	court of law, court,	5
翻	翻	fan1	to turn over, to flip over, to overturn, to rummage through, to translate, to decode, to double, to climb over or into, to cross,	5
翻	翻	fan1	to turn over, to flip over, to overturn, to rummage through, to translate, to decode, to double, to climb over or into, to cross,	5
繁荣	繁榮	fan2 rong2	prosperous, booming (economy),	5
凡是	凡是	fan2 shi4	each and every, every, all, any,	5
反而	反而	fan3 er2	instead, on the contrary, contrary (to expectations),	5
反复	反復	fan3 fu4	repeatedly, over and over,	5
反复	反復	fan3 fu4	repeatedly, over and over,	5
反应	反應	fan3 ying4	to react, to respond, reaction, response, reply, chemical reaction, CL:個|个[gè],	5
反正	反正	fan3 zheng4	anyway, in any case, to come over from the enemy's side,	5
方	方	Fang1	square, power or involution (mathematics), upright, honest, fair and square, direction, side, party (to a contract, dispute etc), place, method, prescription (medicine), just when, only or just, classifier for square things, abbr. for square or cubic meter,	5
方	方	fang1	square, power or involution (mathematics), upright, honest, fair and square, direction, side, party (to a contract, dispute etc), place, method, prescription (medicine), just when, only or just, classifier for square things, abbr. for square or cubic meter,	5
方案	方案	fang1 an4	plan, program (for action etc), proposal, proposed bill, CL:個|个,套[tào],	5
方式	方式	fang1 shi4	way (of life), pattern, style, mode, manner, CL:個|个[gè],	5
妨碍	妨礙	fang2 ai4	to hinder, to obstruct,	5
房东	房東	fang2 dong1	landlord,	5
仿佛	仿佛	fang3 fu2	to seem, as if, alike, similar,	5
仿佛	仿佛	fang3 fu2	to seem, as if, alike, similar,	5
放松	放松	fang4 song1	to loosen, to relax,	5
非	非	Fei1	to not be, not, wrong, incorrect, non-, un-, in-, to reproach or blame, (colloquial) to insist on, simply must,	5
非	非	fei1	to not be, not, wrong, incorrect, non-, un-, in-, to reproach or blame, (colloquial) to insist on, simply must,	5
肥皂	肥皁	fei2 zao4	soap, CL:塊|块,條|条[tiáo],	5
肺	肺	fei4	lung, CL:個|个[gè],	5
