simplified	traditional	pinyin	eng	level
废话	廢話	fei4 hua4	nonsense, rubbish, superfluous words, You don't say!, No kidding! (gently sarcastic),	5
费用	費用	fei4 yong4	cost, expenditure, expense, CL:筆|笔,個|个[gè],	5
分别	分別	fen1 bie2	to part or leave each other, to distinguish, difference, in different ways, differently, separately or individually,	5
分布	分布	fen1 bu4	distributed, to distribute,	5
分配	分配	fen1 pei4	to distribute, to assign, to allocate, to partition (a hard drive),	5
分析	分析	fen1 xi1	to analyze, analysis, CL:個|个[gè],	5
纷纷	紛紛	fen1 fen1	one after another, in succession, one by one, continuously, diverse, in profusion, numerous and confused, pell-mell,	5
奋斗	奮鬥	fen4 dou4	to strive, to struggle,	5
愤怒	憤怒	fen4 nu4	angry, indignant, wrath, ire,	5
风格	風格	feng1 ge2	style,	5
风俗	風俗	feng1 su2	social custom, CL:個|个[gè],	5
风险	風險	feng1 xian3	risk, hazard,	5
疯狂	瘋狂	feng1 kuang2	madness, extreme popularity,	5
讽刺	諷刺	feng3 ci4	to satirize, to mock, irony, satire, sarcasm,	5
否定	否定	fou3 ding4	to negate, to deny, to reject, negative (answer), negation,	5
否认	否認	fou3 ren4	to declare to be untrue, to deny,	5
扶	扶	fu2	to support with the hand, to help sb up, to support oneself by holding onto something, to help,	5
幅	幅	fu2	width, roll, classifier for textiles or pictures,	5
服从	服從	fu2 cong2	to obey (an order), to comply, to defer,	5
服装	服裝	fu2 zhuang1	dress, clothing, costume, clothes, CL:身[shēn],	5
辅导	輔導	fu3 dao3	to coach, to tutor, to give advice (in study),	5
复制	復制	fu4 zhi4	to duplicate, to make a copy of, to copy, to reproduce, to clone,	5
付款	付款	fu4 kuan3	to pay a sum of money, payment,	5
妇女	婦女	fu4 nu:3	woman,	5
改革	改革	gai3 ge2	reform, CL:次,種|种,項|项[xiàng], to reform,	5
改进	改進	gai3 jin4	to improve, to make better, CL:個|个[gè],	5
改善	改善	gai3 shan4	to make better, to improve, CL:個|个[gè],	5
改正	改正	gai3 zheng4	to correct, to amend, to put right, correction, CL:個|个[gè],	5
盖	蓋	Ge3	lid, top, cover, canopy, to cover, to conceal, to build,	5
盖	蓋	gai4	lid, top, cover, canopy, to cover, to conceal, to build,	5
概括	概括	gai4 kuo4	to summarize, to generalize, briefly, CL:個|个[gè],	5
概念	概念	gai4 nian4	concept, idea, CL:個|个[gè],	5
干脆	幹脆	gan1 cui4	straightforward, clear-cut, blunt (e.g. statement), you might as well, simply,	5
感激	感激	gan3 ji1	to be grateful, to appreciate, thankful,	5
感受	感受	gan3 shou4	to sense, perception, to feel (through the senses), a feeling, an impression, an experience,	5
感想	感想	gan3 xiang3	impressions, reflections, thoughts, CL:通,個|个[gè],	5
赶紧	趕緊	gan3 jin3	hurriedly, without delay,	5
赶快	趕快	gan3 kuai4	at once, immediately,	5
干活儿	幹活兒	gan4 huo2 r5	to work, manual labor,	5
钢铁	鋼鐵	gang1 tie3	steel,	5
高档	高檔	gao1 dang4	superior quality, high grade, top grade,	5
高速	高速	gao1 su4	high speed,	5
搞	搞	gao3	to do, to make, to go in for, to set up, to get hold of, to take care of,	5
告别	告別	gao4 bie2	to leave, to bid farewell to, to say good-bye to,	5
胳膊	胳膊	ge1 bo5	arm, CL:隻|只,條|条,雙|双[shuāng],	5
鸽子	鴿子	ge1 zi5	pigeon, dove, various birds of the species Columbidae,	5
隔壁	隔壁	ge2 bi4	next door, neighbor,	5
格外	格外	ge2 wai4	especially, particularly,	5
革命	革命	ge2 ming4	revolution, revolutionary (politics), CL:次[cì],	5
个别	個別	ge4 bie2	individual, specific, respective, just one or two,	5
个人	個人	ge4 ren2	individual, personal, oneself,	5
个性	個性	ge4 xing4	individuality, personality,	5
各自	各自	ge4 zi4	each, respective, apiece,	5
根	根	gen1	root, basis, classifier for long slender objects, e.g. cigarettes, guitar strings, CL:條|条[tiáo], radical (chemistry),	5
根本	根本	gen1 ben3	fundamental, basic, root, simply, absolutely (not), (not) at all, CL:個|个[gè],	5
更加	更加	geng4 jia1	more (than sth else), even more,	5
公布	公布	gong1 bu4	to announce, to make public, to publish,	5
公布	公布	gong1 bu4	to announce, to make public, to publish,	5
公开	公開	gong1 kai1	public, to publish, to make public,	5
公平	公平	gong1 ping2	fair, impartial,	5
公寓	公寓	gong1 yu4	apartment building, block of flats, CL:套[tào],	5
公元	公元	gong1 yuan2	CE (Common Era), Christian Era, AD (Anno Domini),	5
公主	公主	gong1 zhu3	princess,	5
工厂	工廠	gong1 chang3	factory, CL:家,座[zuò],	5
工程师	工程師	gong1 cheng2 shi1	engineer, CL:個|个,位,名[míng],	5
工人	工人	gong1 ren2	worker, CL:個|个,名[míng],	5
工业	工業	gong1 ye4	industry,	5
功夫	功夫	gong1 fu5	skill, art, kung fu, labor, effort,	5
功能	功能	gong1 neng2	function, capability,	5
贡献	貢獻	gong4 xian4	to contribute, to dedicate, to devote, contribution, CL:個|个[gè],	5
沟通	溝通	gou1 tong1	to join, to connect, to link up, to communicate,	5
构成	構成	gou4 cheng2	to constitute, to form, to compose, to make up, to configure (computing),	5
姑姑	姑姑	gu1 gu5	paternal aunt, CL:個|个[gè],	5
姑娘	姑娘	gu1 niang5	girl, young woman, young lady, daughter, paternal aunt (old), CL:個|个[gè],	5
古代	古代	gu3 dai4	ancient times, olden times,	5
古典	古典	gu3 dian3	classical,	5
古老	古老	gu3 lao3	ancient, old, age-old,	5
股票	股票	gu3 piao4	share, stock (market),	5
鼓舞	鼓舞	gu3 wu3	heartening (news), boost (morale), CL:個|个[gè],	5
骨头	骨頭	gu3 tou5	bone, CL:根,塊|块[kuài], moral character, bitterness,	5
固定	固定	gu4 ding4	fixed, set, regular,	5
固体	固體	gu4 ti3	solid,	5
雇佣	僱傭	gu4 yong1	to employ, to hire,	5
雇佣	僱傭	gu4 yong1	to employ, to hire,	5
挂号	掛號	gua4 hao4	to register (a letter etc),	5
乖	乖	guai1	(of a child) obedient, well-behaved, clever, shrewd, alert, perverse, contrary to reason, irregular, abnormal,	5
拐弯	拐彎	guai3 wan1	to go round a curve, to turn a corner, fig. a new direction,	5
怪不得	怪不得	guai4 bu5 de5	no wonder!, so that's why!,	5
关闭	關閉	guan1 bi4	to close, to shut,	5
关怀	關懷	guan1 huai2	care, solicitude, to show care for, concerned about, attentive to,	5
官	官	Guan1	official, government, organ of body, CL:個|个[gè],	5
官	官	guan1	official, government, organ of body, CL:個|个[gè],	5
观察	觀察	guan1 cha2	to observe, to watch, to survey, to examine, observation, view, perspective, CL:個|个[gè],	5
观点	觀點	guan1 dian3	point of view, viewpoint, standpoint, CL:個|个[gè],	5
观念	觀念	guan1 nian4	notion, thought, concept, sense, views, ideology, general impressions,	5
管子	管子	Guan3 zi3	tube, pipe, drinking straw, CL:根[gēn],	5
管子	管子	guan3 zi5	tube, pipe, drinking straw, CL:根[gēn],	5
罐头	罐頭	guan4 tou5	tin, can, CL:個|个[gè],	5
冠军	冠軍	guan4 jun1	champion, CL:個|个[gè],	5
光滑	光滑	guang1 hua2	glossy, sleek, smooth,	5
光临	光臨	guang1 lin2	(honorific) Welcome!, You honor us with your presence., It is an honor to have you.,	5
光明	光明	guang1 ming2	light, illumination, radiance (esp. glory of Buddha etc), fig. bright prospects, openhearted,	5
光盘	光盤	guang1 pan2	compact disc, CD or DVD, CD ROM, CL:片,張|张[zhāng],	5
光荣	光榮	guang1 rong2	honor and glory, glorious,	5
广场	廣場	guang3 chang3	public square, plaza,	5
广大	廣大	guang3 da4	(of an area) vast or extensive, large-scale, widespread, (of people) numerous,	5
广泛	廣泛	guang3 fan4	extensive, wide range,	5
规矩	規矩	gui1 ju5	lit. compass and set square, fig. established standard, rule, customs, practices, fig. upright and honest, well-behaved,	5
规律	規律	gui1 lu:4	rule (e.g. of science), law of behavior, regular pattern, rhythm, discipline,	5
规模	規模	gui1 mo2	scale, scope, extent, CL:個|个[gè],	5
规则	規則	gui1 ze2	rule, regulation, rules and regulations,	5
柜台	櫃臺	gui4 tai2	sales counter, front desk, bar, over the counter,	5
柜台	櫃臺	gui4 tai2	sales counter, front desk, bar, over the counter,	5
柜台	櫃臺	gui4 tai2	sales counter, front desk, bar, over the counter,	5
滚	滾	gun3	to boil, to roll, to take a hike, Get lost!,	5
锅	鍋	guo1	pot, pan, boiler, CL:口,隻|只[zhī],	5
国籍	國籍	guo2 ji2	nationality,	5
国庆节	國慶節	Guo2 qing4 jie2	PRC National Day (October 1st),	5
果实	果實	guo3 shi2	fruit, gains,	5
过分	過分	guo4 fen4	excessive, undue, overly,	5
过敏	過敏	guo4 min3	to be allergic, allergy,	5
过期	過期	guo4 qi1	to be overdue, to exceed the time limit, to expire (as in expiration date),	5
哈	哈	Ha1	laughter, yawn,	5
哈	哈	ha1	laughter, yawn,	5
哈	哈	ha3	laughter, yawn,	5
海关	海關	hai3 guan1	customs (i.e. border crossing inspection), CL:個|个[gè],	5
海鲜	海鮮	hai3 xian1	seafood,	5
喊	喊	han3	to yell, to shout, to call out for (a person),	5
行业	行業	hang2 ye4	industry, business,	5
豪华	豪華	hao2 hua2	luxurious,	5
好奇	好奇	hao4 qi2	inquisitive, curious, inquisitiveness, curiosity,	5
和平	和平	He2 ping2	peace,	5
和平	和平	he2 ping2	peace,	5
何必	何必	he2 bi4	there is no need, why should,	5
何况	何況	he2 kuang4	let alone, to say nothing of, besides, what's more,	5
合法	合法	he2 fa3	lawful, legitimate, legal,	5
合理	合理	he2 li3	rational, reasonable, fair,	5
合同	合同	he2 tong5	(business) contract, CL:個|个[gè],	5
合影	合影	he2 ying3	joint photo, group photo,	5
合作	合作	he2 zuo4	to cooperate, to collaborate, to work together, cooperation, CL:個|个[gè],	5
核心	核心	he2 xin1	core, nucleus,	5
恨	恨	hen4	to hate, to regret,	5
横	橫	heng2	horizontal, across, (horizontal character stroke),	5
横	橫	heng4	horizontal, across, (horizontal character stroke),	5
后果	後果	hou4 guo3	consequences, aftermath,	5
忽视	忽視	hu1 shi4	to neglect, to ignore,	5
呼吸	呼吸	hu1 xi1	to breathe,	5
壶	壺	hu2	pot, classifier for bottled liquid,	5
蝴蝶	蝴蝶	hu2 die2	butterfly, CL:隻|只[zhī],	5
胡说	胡說	hu2 shuo1	to talk nonsense, drivel,	5
胡同	胡同	hu2 tong4	variant of 胡同[hú tòng],	5
胡同	胡同	hu2 tong4	variant of 胡同[hú tòng],	5
胡须	胡須	hu2 xu1	beard, CL:根,綹|绺[liǔ],	5
糊涂	糊塗	hu2 tu5	muddled, silly, confused,	5
花生	花生	hua1 sheng1	peanut, groundnut, CL:粒[lì],	5
滑冰	滑冰	hua2 bing1	to skate, skating,	5
划船	劃船	hua2 chuan2	to row a boat, rowing boat, rowing (sport),	5
华裔	華裔	Hua2 yi4	ethnic Chinese, non-Chinese citizen of Chinese ancestry,	5
化学	化學	hua4 xue2	chemistry, chemical,	5
话题	話題	hua4 ti2	subject (of a talk or conversation), topic,	5
怀念	懷念	huai2 nian4	to cherish the memory of, to think of, reminisce,	5
缓解	緩解	huan3 jie3	to blunt, to dull, to ease, to help relieve (a crisis), to alleviate (pain),	5
幻想	幻想	huan4 xiang3	delusion, fantasy,	5
慌张	慌張	huang1 zhang1	confused, flustered,	5
黄瓜	黃瓜	huang2 gua1	cucumber, CL:條|条[tiáo],	5
黄金	黃金	huang2 jin1	gold,	5
皇帝	皇帝	huang2 di4	emperor, CL:個|个[gè],	5
皇后	皇後	huang2 hou4	empress, imperial consort,	5
灰	灰	hui1	ash, dust, lime, gray, discouraged, dejected,	5
灰尘	灰塵	hui1 chen2	dust,	5
灰心	灰心	hui1 xin1	to lose heart, to be discouraged,	5
挥	揮	hui1	to wave, to brandish, to wipe away, to command, to conduct, to scatter, to disperse,	5
恢复	恢復	hui1 fu4	to reinstate, to resume, to restore, to recover, to regain, to rehabilitate,	5
汇率	匯率	hui4 lu:4	exchange rate,	5
婚礼	婚禮	hun1 li3	wedding ceremony, wedding,	5
婚姻	婚姻	hun1 yin1	matrimony, wedding, marriage, CL:次[cì],	5
活跃	活躍	huo2 yue4	active, vigorous,	5
火柴	火柴	huo3 chai2	match (for lighting fire), CL:根,盒[hé],	5
伙伴	夥伴	huo3 ban4	partner, companion, comrade,	5
基本	基本	ji1 ben3	basic, fundamental, main, elementary,	5
机器	機器	ji1 qi4	machine, CL:臺|台,部,個|个[gè],	5
激烈	激烈	ji1 lie4	intense, acute, fierce,	5
肌肉	肌肉	ji1 rou4	muscle, flesh,	5
及格	及格	ji2 ge2	to pass a test,	5
急忙	急忙	ji2 mang2	hastily,	5
集体	集體	ji2 ti3	collective, social, team, CL:個|个[gè],	5
集中	集中	ji2 zhong1	to concentrate, to centralize, to focus, centralized, concentrated, to put together,	5
记录	記錄	ji4 lu4	to record, record (written account), record (in sports etc), CL:個|个[gè],	5
记忆	記憶	ji4 yi4	to remember, to recall, memory, CL:個|个[gè],	5
计算	計算	ji4 suan4	to count, to calculate, to compute, CL:個|个[gè],	5
寂寞	寂寞	ji4 mo4	lonely, lonesome, quiet, silent,	5
系领带	系領帶	xi4 ling3 dai4	to tie one's necktie,	5
纪录	紀錄	ji4 lu4	record,	5
纪律	紀律	ji4 lu:4	discipline,	5
纪念	紀念	ji4 nian4	to commemorate, to remember, CL:個|个[gè],	5
家庭	家庭	jia1 ting2	family, household, CL:戶|户,個|个[gè],	5
家务	家務	jia1 wu4	household duties, housework,	5
家乡	家鄉	jia1 xiang1	hometown, native place, CL:個|个[gè],	5
嘉宾	嘉賓	jia1 bin1	esteemed guest, honored guest, guest (on a show),	5
夹子	夾子	jia1 zi5	clip, clamp, tongs, folder, wallet,	5
甲	甲	jia3	first of the ten heavenly stems 十天干[shí tiān gān], (used for an unspecified person or thing), first (in a list, as a party to a contract etc), armor plating, shell or carapace, (of the fingers or toes) nail, bladed leather or metal armor (old), ranking system used in the Imperial examinations (old), civil administration unit (old),	5
假如	假如	jia3 ru2	if,	5
假装	假裝	jia3 zhuang1	to feign, to pretend,	5
嫁	嫁	jia4	(of a woman) to marry, to marry off a daughter, to shift (blame etc),	5
价值	價值	jia4 zhi2	value, worth, fig. values (ethical, cultural etc), CL:個|个[gè],	5
驾驶	駕駛	jia4 shi3	to pilot (ship, airplane etc), to drive,	5
煎	煎	jian1	to pan fry, to sauté,	5
肩膀	肩膀	jian1 bang3	shoulder,	5
坚决	堅決	jian1 jue2	firm, resolute, determined,	5
坚强	堅強	jian1 qiang2	staunch, strong,	5
尖锐	尖銳	jian1 rui4	sharp, intense, penetrating, pointed, acute (illness),	5
艰巨	艱巨	jian1 ju4	arduous, terrible (task), very difficult, formidable,	5
艰苦	艱苦	jian1 ku3	difficult, hard, arduous,	5
捡	撿	jian3	to pick up, to collect, to gather,	5
剪刀	剪刀	jian3 dao1	scissors, CL:把[bǎ],	5
简历	簡歷	jian3 li4	Curriculum Vitae (CV), résumé (resume), biographical notes,	5
简直	簡直	jian3 zhi2	simply, at all, practically,	5
健身房	健身房	jian4 shen1 fang2	gym, gymnasium,	5
建立	建立	jian4 li4	to establish, to set up, to found,	5
建设	建設	jian4 she4	to build, to construct, construction, constructive,	5
建议	建議	jian4 yi4	to propose, to suggest, to recommend, proposal, suggestion, recommendation, CL:個|个,點|点[diǎn],	5
建筑	建築	jian4 zhu4	to construct, building, CL:個|个[gè],	5
键盘	鍵盤	jian4 pan2	keyboard,	5
讲究	講究	jiang3 jiu5	to pay particular attention to, exquisite, aesthetic,	5
讲座	講座	jiang3 zuo4	a course of lectures, CL:個|个[gè],	5
降落	降落	jiang4 luo4	to descend, to land,	5
酱油	醬油	jiang4 you2	soy sauce,	5
浇	澆	jiao1	to pour liquid, to irrigate (using waterwheel), to water, to cast (molten metal), to mold,	5
交换	交換	jiao1 huan4	to exchange, to swap, to switch (telecom), commutative (math), to commute,	5
交际	交際	jiao1 ji4	communication, social intercourse,	5
郊区	郊區	Jiao1 Qu1	suburban district, outskirts, suburbs, CL:個|个[gè],	5
郊区	郊區	jiao1 qu1	suburban district, outskirts, suburbs, CL:個|个[gè],	5
胶水	膠水	jiao1 shui3	glue,	5
角度	角度	jiao3 du4	angle, point of view,	5
狡猾	狡猾	jiao3 hua2	crafty, cunning, sly,	5
教材	教材	jiao4 cai2	teaching material, CL:本[běn],	5
教练	教練	jiao4 lian4	instructor, sports coach, trainer, CL:個|个,位,名[míng],	5
教训	教訓	jiao4 xun5	lesson, moral, to chide sb, to lecture sb,	5
接触	接觸	jie1 chu4	to touch, to contact, access, in touch with,	5
接待	接待	jie1 dai4	to receive (a visitor), to admit (allow sb to enter),	5
接近	接近	jie1 jin4	to approach, to get close to,	5
接着	接着	jie1 zhe5	to catch and hold on, to continue, to go on to do sth, to follow, to carry on, then, after that, subsequently, to proceed, to ensue, in turn, in one's turn,	5
阶段	階段	jie1 duan4	stage, section, phase, period, CL:個|个[gè],	5
结实	結實	jie1 shi2	rugged, sturdy,	5
结实	結實	jie1 shi5	rugged, sturdy,	5
节	節	jie1	festival, holiday, node, joint, section, segment, part, to economize, to save, to abridge, moral integrity, classifier for segments, e.g. lessons, train wagons, biblical verses, CL:個|个[gè],	5
节	節	jie2	festival, holiday, node, joint, section, segment, part, to economize, to save, to abridge, moral integrity, classifier for segments, e.g. lessons, train wagons, biblical verses, CL:個|个[gè],	5
节省	節省	jie2 sheng3	saving, to save, to use sparingly, to cut down on,	5
结构	結構	jie2 gou4	structure, composition, makeup, architecture, CL:座,個|个[gè],	5
结合	結合	jie2 he2	to combine, to link, to integrate, binding, CL:次[cì],	5
结论	結論	jie2 lun4	conclusion, verdict, CL:個|个[gè], to conclude, to reach a verdict,	5
结账	結賬	jie2 zhang4	to pay the bill, to settle accounts, also written 結帳|结帐,	5
解放	解放	jie3 fang4	to liberate, to emancipate, liberation, refers to the Communists' victory over the Nationalists in 1949, CL:次[cì],	5
解说员	解說員	jie3 shuo1 yuan2	commentator,	5
届	屆	jie4	to arrive at (place or time), period, to become due, classifier for events, meetings, elections, sporting fixtures, years (of graduation),	5
借口	借口	jie4 kou3	to use as an excuse, on the pretext, excuse, pretext,	5
戒烟	戒煙	jie4 yan1	to give up smoking,	5
戒指	戒指	jie4 zhi5	(finger) ring,	5
金属	金屬	jin1 shu3	metal, CL:種|种[zhǒng],	5
紧	緊	jin3	tight, strict, close at hand, near, urgent, tense, hard up, short of money, to tighten,	5
紧急	緊急	jin3 ji2	urgent, emergency,	5
尽量	盡量	jin3 liang4	as much as possible, to the greatest extent,	5
尽量	盡量	jin4 liang4	as much as possible, to the greatest extent,	5
谨慎	謹慎	jin3 shen4	cautious, prudent,	5
进步	進步	jin4 bu4	progress, improvement, to improve, to progress, CL:個|个[gè],	5
进口	進口	jin4 kou3	to import, imported,	5
近代	近代	jin4 dai4	modern times,	5
尽力	盡力	jin4 li4	to strive one's hardest, to spare no effort,	5
精力	精力	jing1 li4	energy,	5
经典	經典	jing1 dian3	the classics, scriptures, classical,	5
经营	經營	jing1 ying2	to engage in (business etc), to run, to operate,	5
景色	景色	jing3 se4	scenery, scene, landscape, view,	5
敬爱	敬愛	jing4 ai4	respect and love,	5
酒吧	酒吧	jiu3 ba1	bar, pub, saloon, CL:家[jiā],	5
救	救	jiu4	to save, to assist, to rescue,	5
救	救	jiu4	to save, to assist, to rescue,	5
救护车	救護車	jiu4 hu4 che1	ambulance, CL:輛|辆[liàng],	5
舅舅	舅舅	jiu4 jiu5	mother's brother, maternal uncle (informal), CL:個|个[gè],	5
居然	居然	ju1 ran2	unexpectedly, to one's surprise, go so far as to,	5
桔子	桔子	ju2 zi5	tangerine, also written 橘子,	5
举	舉	ju3	to lift, to hold up, to cite, to enumerate, to act, to raise, to choose, to elect,	5
举	舉	ju3	to lift, to hold up, to cite, to enumerate, to act, to raise, to choose, to elect,	5
具备	具備	ju4 bei4	to possess, to have, equipped with, able to fulfill (conditions or requirements),	5
具体	具體	ju4 ti3	concrete, definite, specific,	5
巨大	巨大	ju4 da4	huge, immense, very large, tremendous, gigantic, enormous,	5
聚会	聚會	ju4 hui4	party, gathering, to meet, to get together,	5
俱乐部	俱樂部	ju4 le4 bu4	club (i.e. a group or organization) (loanword), CL:個|个[gè],	5
据说	據說	ju4 shuo1	it is said that, reportedly,	5
捐	捐	juan1	to contribute, to donate, contribution, tax, to abandon,	5
卷	卷	juan3	to roll (up), to sweep up, to carry on, roll,	5
卷	卷	juan4	to roll (up), to sweep up, to carry on, roll,	5
卷	卷	juan3	to roll (up), to sweep up, to carry on, roll,	5
决赛	決賽	jue2 sai4	finals (of a competition),	5
决心	決心	jue2 xin1	determination, resolution, determined, firm and resolute, to make up one's mind, CL:個|个[gè],	5
绝对	絕對	jue2 dui4	absolute, unconditional,	5
角色	角色	jue2 se4	role,	5
军事	軍事	jun1 shi4	military affairs, military matters, military,	5
均匀	均勻	jun1 yun2	even, well-distributed, homogeneous,	5
卡车	卡車	ka3 che1	truck, CL:輛|辆[liàng],	5
开发	開發	kai1 fa1	to exploit (a resource), to open up (for development), to develop,	5
开放	開放	kai1 fang4	to bloom, to open, to be open-minded, to be open (to the public), to open up (to the outside),	5
开幕式	開幕式	kai1 mu4 shi4	opening ceremony,	5
开心	開心	kai1 xin1	to feel happy, to rejoice, to have a great time, to make fun of sb,	5
砍	砍	kan3	to chop, to cut down, to throw sth at sb,	5
看不起	看不起	kan4 bu5 qi3	to look down upon, to despise,	5
看来	看來	kan4 lai5	apparently, it seems that,	5
抗议	抗議	kang4 yi4	to protest, protest,	5
烤鸭	烤鴨	kao3 ya1	roast duck,	5
颗	顆	ke1	classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc,	5
可见	可見	ke3 jian4	it can clearly be seen (that this is the case), it is (thus) clear, clear, visible,	5
可靠	可靠	ke3 kao4	reliable,	5
可怕	可怕	ke3 pa4	awful, dreadful, fearful, formidable, frightful, scary, hideous, horrible, terrible, terribly,	5
刻苦	刻苦	ke4 ku3	hardworking, assiduous,	5
课程	課程	ke4 cheng2	course, academic program, CL:堂,節|节,門|门[mén],	5
克	克	Ke4	variant of 克[kè], to subdue, to overthrow, to restrain,	5
克	克	ke4	variant of 克[kè], to subdue, to overthrow, to restrain,	5
克	克	Ke4	variant of 克[kè], to subdue, to overthrow, to restrain,	5
克	克	ke4	variant of 克[kè], to subdue, to overthrow, to restrain,	5
克	克	ke4	variant of 克[kè], to subdue, to overthrow, to restrain,	5
克服	克服	ke4 fu2	(try to) overcome (hardships etc), to conquer, to put up with, to endure,	5
客观	客觀	ke4 guan1	objective, impartial,	5
客厅	客廳	ke4 ting1	drawing room (room for arriving guests), living room, CL:間|间[jiān],	5
空间	空間	kong1 jian1	space, CL:個|个[gè],	5
恐怖	恐怖	kong3 bu4	terrible, frightful, frightening, terror, terrorist,	5
空闲	空閒	kong4 xian2	idle, free time, leisure,	5
控制	控制	kong4 zhi4	control, to exercise control over, to contain,	5
口味	口味	kou3 wei4	a person's preferences, tastes (in food), flavor,	5
夸	誇	kua1	to boast, to exaggerate, to praise,	5
夸	誇	kua1	to boast, to exaggerate, to praise,	5
会计	會計	kuai4 ji4	accountant, accountancy, accounting,	5
矿泉水	礦泉水	kuang4 quan2 shui3	mineral spring water, CL:瓶,杯[bēi],	5
辣椒	辣椒	la4 jiao1	hot pepper, chili,	5
蜡烛	蠟燭	la4 zhu2	candle, CL:根,支[zhī],	5
来自	來自	lai2 zi4	to come from (a place), From: (in email header),	5
拦	攔	lan2	to cut off, to hinder,	5
烂	爛	lan4	soft, mushy, well-cooked and soft, to rot, to decompose, rotten, worn out, chaotic, messy, utterly, thoroughly,	5
狼	狼	lang2	wolf, CL:匹,隻|只,條|条[tiáo],	5
劳动	勞動	lao2 dong4	work, toil, physical labor, CL:次[cì],	5
劳驾	勞駕	lao2 jia4	excuse me,	5
老百姓	老百姓	lao3 bai3 xing4	"ordinary people, the ""person in the street"", CL:個|个[gè],"	5
老板	老板	lao3 ban3	boss, business proprietor, CL:個|个[gè],	5
老板	老板	Lao3 ban3	boss, business proprietor, CL:個|个[gè],	5
老板	老板	lao3 ban3	boss, business proprietor, CL:個|个[gè],	5
老实	老實	lao3 shi5	honest, sincere, open and guileless, naive,	5
老鼠	老鼠	lao3 shu3	rat, mouse, CL:隻|只[zhī],	5
姥姥	姥姥	lao3 lao5	(informal) mother's mother, maternal grandmother,	5
乐观	樂觀	le4 guan1	optimistic, hopeful,	5
雷	雷	Lei2	thunder, (internet slang) terrifying, terrific,	5
雷	雷	lei2	thunder, (internet slang) terrifying, terrific,	5
类	類	lei4	kind, type, class, category, similar, like, to resemble,	5
梨	梨	li2	pear, CL:個|个[gè],	5
离婚	離婚	li2 hun1	to divorce, divorced from (one's spouse),	5
厘米	釐米	li2 mi3	centimeter, also written 厘米,	5
礼拜天	禮拜天	Li3 bai4 tian1	Sunday,	5
理论	理論	li3 lun4	theory, CL:個|个[gè],	5
理由	理由	li3 you2	reason, grounds, justification, CL:個|个[gè],	5
粒	粒	li4	grain, granule, classifier for small round things (peas, bullets, peanuts, pills, grains etc),	5
立方	立方	li4 fang1	cube,	5
立即	立即	li4 ji2	immediately,	5
立刻	立刻	li4 ke4	forthwith, immediate, prompt, promptly, straightway, thereupon, at once,	5
力量	力量	li4 liang5	power, force, strength,	5
利润	利潤	li4 run4	profits,	5
利息	利息	li4 xi1	interest (on a loan), CL:筆|笔[bǐ],	5
利益	利益	li4 yi4	benefit, (in sb's) interest, CL:個|个[gè],	5
利用	利用	li4 yong4	exploit, make use of, to use, to take advantage of, to utilize,	5
连忙	連忙	lian2 mang2	promptly, at once,	5
连续剧	連續劇	lian2 xu4 ju4	serialized drama, dramatic series, show in parts,	5
联合	聯合	lian2 he2	to combine, to join, unite, alliance,	5
恋爱	戀愛	lian4 ai4	(romantic) love, CL:個|个,場|场[chǎng], in love, to have an affair,	5
良好	良好	liang2 hao3	good, favorable, well, fine,	5
粮食	糧食	liang2 shi5	foodstuff, cereals, CL:種|种[zhǒng],	5
了不起	了不起	liao3 bu5 qi3	amazing, terrific, extraordinary,	5
临时	臨時	lin2 shi2	at the instant sth happens, temporary, interim, ad hoc,	5
铃	鈴	ling2	(small) bell, CL:隻|只[zhī],	5
零件	零件	ling2 jian4	part, component,	5
零钱	零錢	ling2 qian2	change (of money), small change, pocket money,	5
零食	零食	ling2 shi2	between-meal nibbles, snacks,	5
灵活	靈活	ling2 huo2	flexible, nimble, agile,	5
领导	領導	ling3 dao3	lead, leading, to lead, leadership, leader, CL:位,個|个[gè],	5
领域	領域	ling3 yu4	domain, sphere, field, territory, area,	5
流传	流傳	liu2 chuan2	to spread, to circulate, to hand down,	5
浏览	瀏覽	liu2 lan3	to skim over, to browse,	5
龙	龍	Long2	dragon, CL:條|条[tiáo], imperial,	5
龙	龍	long2	dragon, CL:條|条[tiáo], imperial,	5
漏	漏	lou4	to leak, to divulge, to leave out by mistake, waterclock or hourglass (old),	5
露	露	Lu4	dew, syrup, nectar, outdoors (not under cover), to show, to reveal, to betray, to expose,	5
露	露	lou4	dew, syrup, nectar, outdoors (not under cover), to show, to reveal, to betray, to expose,	5
露	露	lu4	dew, syrup, nectar, outdoors (not under cover), to show, to reveal, to betray, to expose,	5
陆地	陸地	lu4 di4	dry land (as opposed to the sea),	5
陆续	陸續	lu4 xu4	in turn, successively, one after the other, bit by bit,	5
录取	錄取	lu4 qu3	to recruit, to enroll,	5
录音	錄音	lu4 yin1	to record (sound), sound recording, CL:個|个[gè],	5
